ステータス,FC実施年月日,性別,年代,CEFR,在住国,識別用のラベル,流入経路,集客経路
入会,2024-10-30,男性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-10-30,女性,61以上,A1,日本,mitsukaru_campaign_01ーaffiliatesーaffiliate,【アフィ】ミツカル,検索
失注,2024-10-30,男性,46〜60,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-10-31,女性,46〜60,A2,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,受講生紹介
入会,2024-10-31,男性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,比較サイト
失注,2024-10-31,女性,36〜45,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
失注,2024-10-31,女性,18〜25,A1,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,バイリンガール
入会,2024-11-01,女性,46〜60,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-11-01,女性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-01,女性,36〜45,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-01,男性,46〜60,B1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-11-02,男性,36〜45,B1,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,バイリンガール
入会,2024-11-02,女性,46〜60,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
入会,2024-11-02,女性,36〜45,A2,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会後・失注,2024-11-02,女性,36〜45,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-02,女性,31〜35,A2,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-02,女性,36〜45,B1,国外,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-11-02,女性,18〜25,A1,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,バイリンガール
失注,2024-11-02,女性,31〜35,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-03,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-11-03,女性,46〜60,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-03,男性,26〜30,A2,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-03,女性,26〜30,B1,日本,kakakucom_campaign_01ーaffiliatesーaffiliate,【アフィ】価格コム,バイリンガール
入会,2024-11-03,女性,46〜60,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-03,女性,46〜60,A1,国外,ーー,その他（パラメ不明）,バイリンガール
失注,2024-11-04,女性,36〜45,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-05,女性,46〜60,B1,国外,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-11-05,女性,31〜35,A2,日本,kakakucom_campaign_01ーaffiliatesーaffiliate,【アフィ】価格コム,バイリンガール
入会,2024-11-05,女性,31〜35,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-11-05,女性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-05,女性,36〜45,B1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-11-05,女性,46〜60,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-05,女性,10代前半,A2,国外,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,バイリンガール
入会,2024-11-05,女性,46〜60,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-05,女性,31〜35,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-05,女性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
失注,2024-11-05,女性,31〜35,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-11-06,女性,46〜60,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-06,女性,46〜60,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-06,女性,61以上,A2,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-11-06,女性,46〜60,A1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-06,女性,46〜60,A2,日本,ーー,その他（パラメ不明）,検索
入会,2024-11-07,女性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-07,男性,36〜45,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-07,男性,31〜35,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-07,女性,18〜25,A1,日本,mitsukaru_campaign_01ーaffiliatesーaffiliate,【アフィ】ミツカル,バイリンガール
入会,2024-11-08,女性,26〜30,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-08,女性,36〜45,A1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-08,女性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-08,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
NS失注,2024-11-08,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
失注,2024-11-08,男性,18〜25,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-08,女性,36〜45,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-11-08,男性,26〜30,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会後・失注,2024-11-08,女性,26〜30,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-09,女性,26〜30,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-09,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
NS失注,2024-11-09,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2024-11-09,女性,36〜45,B1,日本,不明,不明,バイリンガール
失注,2024-11-09,女性,61以上,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-11-09,男性,36〜45,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-11-10,女性,46〜60,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-10,男性,18〜25,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-11,女性,36〜45,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-12,女性,36〜45,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-12,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
失注,2024-11-12,女性,18〜25,不明,日本,ーー,その他（パラメ不明）,受講生紹介
入会,2024-11-12,女性,46〜60,A2,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,バイリンガール
入会,2024-11-12,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-11-12,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
NS失注,2024-11-12,女性,不明,不明,日本,ーー,その他（パラメ不明）,不明
失注,2024-11-12,女性,31〜35,A2,国外,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-11-12,男性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2024-11-12,男性,18〜25,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
入会,2024-11-12,女性,31〜35,B1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",peco
失注,2024-11-12,男性,18〜25,B1,日本,campaign_01ーyahooーorganic,【※使用しない】過去：Yahooリスティング広告,バイリンガール
入会,2024-11-12,女性,31〜35,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-12,女性,18〜25,A1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-13,女性,36〜45,B1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-13,男性,46〜60,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-13,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
失注,2024-11-13,女性,31〜35,A2,国外,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-11-13,男性,61以上,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-13,女性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-13,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2024-11-13,男性,46〜60,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
失注,2024-11-13,男性,46〜60,A2,日本,campaign_01ーyahooーorganic,【※使用しない】過去：Yahooリスティング広告,バイリンガール
入会,2024-11-14,女性,31〜35,A2,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-14,女性,36〜45,B1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-14,女性,36〜45,B1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-11-14,女性,36〜45,B1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-14,男性,36〜45,B1,日本,mitsukaru_campaign_01ーaffiliatesーaffiliate,【アフィ】ミツカル,比較サイト
失注,2024-11-14,女性,36〜45,A1,日本,kakakucom_campaign_01ーaffiliatesーaffiliate,【アフィ】価格コム,バイリンガール
入会,2024-11-15,女性,36〜45,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-15,女性,36〜45,B1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-11-15,男性,36〜45,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-11-15,女性,31〜35,B2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-15,女性,31〜35,B1,国外,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-11-15,女性,36〜45,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-15,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
失注,2024-11-15,女性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
入会,2024-11-15,女性,31〜35,B1,国外,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-11-15,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",不明
失注,2024-11-15,女性,36〜45,B1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-15,男性,31〜35,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-16,女性,31〜35,A2,国外,ーー,その他（パラメ不明）,バイリンガール
入会,2024-11-16,女性,46〜60,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-16,男性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
NS失注,2024-11-16,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
失注,2024-11-16,女性,36〜45,A1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
入会,2024-11-16,女性,46〜60,A2,国外,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-11-16,男性,36〜45,B2,国外,ーー,その他（パラメ不明）,比較サイト
入会,2024-11-16,女性,26〜30,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,受講生紹介
NS失注,2024-11-16,女性,不明,不明,日本,mitsukaru_campaign_01ーaffiliatesーaffiliate,【アフィ】ミツカル,不明
入会後・失注,2024-11-16,男性,36〜45,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-16,男性,31〜35,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-17,男性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,受講生紹介
失注,2024-11-17,女性,26〜30,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会後・失注,2024-11-17,女性,61以上,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-17,男性,31〜35,B2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,その他
失注,2024-11-17,男性,36〜45,B2,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,検索
失注,2024-11-17,女性,18〜25,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-17,男性,36〜45,B1,日本,ーー,その他（パラメ不明）,比較サイト
入会,2024-11-18,女性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-18,女性,31〜35,B1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
失注,2024-11-18,男性,31〜35,B2,日本,kakakucom_campaign_01ーaffiliatesーaffiliate,【アフィ】価格コム,比較サイト
NS失注,2024-11-18,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",不明
入会,2024-11-18,女性,18〜25,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-18,女性,18〜25,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-11-19,女性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会後・失注,2024-11-19,女性,26〜30,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
失注,2024-11-19,男性,18〜25,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-19,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
失注,2024-11-19,女性,18〜25,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-19,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",不明
NS失注,2024-11-19,男性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
NS失注,2024-11-19,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2024-11-19,男性,31〜35,B2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-19,女性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-19,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",不明
失注,2024-11-19,男性,36〜45,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
入会後・失注,2024-11-20,女性,46〜60,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-20,男性,46〜60,A2,日本,ーー,その他（パラメ不明）,検索
入会,2024-11-20,女性,26〜30,B1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-20,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
失注,2024-11-20,女性,36〜45,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-20,女性,36〜45,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-21,男性,36〜45,B2,国外,ーー,その他（パラメ不明）,バイリンガール
入会,2024-11-21,男性,36〜45,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-21,男性,31〜35,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-21,女性,36〜45,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
入会,2024-11-22,女性,26〜30,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
NS失注,2024-11-22,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",不明
失注,2024-11-22,女性,18〜25,A1,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,バイリンガール
失注,2024-11-22,女性,26〜30,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-22,女性,26〜30,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-22,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",不明
入会,2024-11-22,女性,26〜30,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-22,女性,不明,不明,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
失注,2024-11-22,女性,36〜45,A2,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-23,女性,36〜45,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-11-23,女性,46〜60,B1,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,バイリンガール
入会,2024-11-23,女性,26〜30,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会後・失注,2024-11-23,女性,26〜30,A2,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,タビケン留学
入会,2024-11-23,女性,31〜35,A1,日本,ーー,その他（パラメ不明）,peco
入会,2024-11-23,女性,46〜60,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-24,男性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2024-11-24,女性,46〜60,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-24,女性,36〜45,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-11-24,女性,46〜60,B1,日本,campaign_01ーyahooーorganic,【※使用しない】過去：Yahooリスティング広告,バイリンガール
入会,2024-11-24,女性,18〜25,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-24,不明,18〜25,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",検索
失注,2024-11-24,男性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会後・失注,2024-11-25,女性,31〜35,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-25,女性,31〜35,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
NS失注,2024-11-25,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
失注,2024-11-25,男性,36〜45,B2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,比較サイト
失注,2024-11-25,女性,46〜60,A1,日本,不明,不明,バイリンガール
入会,2024-11-26,女性,46〜60,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-26,女性,26〜30,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-11-26,男性,46〜60,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-26,女性,26〜30,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
失注,2024-11-26,女性,26〜30,B1,国外,campaign_02ーyoutubeーcpc,【インフルエンサー】Peco・バイリンガールLP,バイリンガール
NS失注,2024-11-26,女性,不明,不明,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,不明
失注,2024-11-26,女性,26〜30,A1,国外,ーー,その他（パラメ不明）,peco
入会,2024-11-26,女性,36〜45,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-26,女性,26〜30,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-11-26,男性,不明,不明,日本,不明,不明,不明
失注,2024-11-27,女性,36〜45,B1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-11-27,女性,46〜60,B2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-11-27,女性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会後・失注,2024-11-27,女性,36〜45,A1,日本,campaign_01ーyahooーorganic,【※使用しない】過去：Yahooリスティング広告,バイリンガール
入会後・失注,2024-11-27,女性,46〜60,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,その他
失注,2024-11-27,男性,46〜60,B1,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,バイリンガール
失注,2024-11-27,男性,46〜60,A2,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-27,女性,26〜30,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-11-28,女性,31〜35,A1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-28,女性,46〜60,A2,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-28,女性,46〜60,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2024-11-28,女性,36〜45,B1,日本,ーー,その他（パラメ不明）,peco
